sticky-notes,ebbf
settings,ebc0
follow-up,ebc1
trash,ebc2
file-text,ebc3
spreadsheet,ebc4
file-pdf,ebc5
file,ebc6
file-symlink,ebc7
directory,ebc8
directory-symlink,ebc9
albums,ebca
archive,ebd7
bookmark,ebd8
book-open,ebd9
calendar,ebda
cancel,ebdb
chat,ebdc
clock,ebdd
desktop,ebde
downloads,ebdf
favorites,ebe0
file-binary,ebe1
file-music,ebe2
file-zip,ebe3
file-zip-locked,ebe4
film,ebe5
font1,ebe6
info,ebe7
keys,ebe8
link,ebe9
link-broken,ebea
lock,ebeb
log,ebec
magnifying-glass,ebed
mail,ebee
mail-notification,ebef
mail-read,ebf0
mail-warning,ebf1
package,ebcb
pencil,ebcc
photo,ebcd
photos,ebce
project,ebcf
survey,ebd0
task,ebd1
task-done,ebd2
consider,ebd3
todo,ebd4
tools,ebd5
tools-settings,ebd6
spring,ebb8
plone,ebb9
maven,ebba
gradle1,ebbb
gentoo1,ebbc
exherbo,ebbd
angular1,ebbe
three-dimensional-printing,f107
antenna,f108
apache,f109
aws1,f10a
blackberry1,f10b
bomb,f10c
c,f10d
cassandra,f10e
centos,f10f
coffee-bean,f110
cpp1,f111
csharp,f112
css,f113
database1,f114
database-alt1,f115
database-alt2,f116
debian1,f117
dreamhost,f118
elixir,f119
fedora,f11a
fire-alt,f11b
freebsd,f11c
ghost1,f11d
gnome,f11e
google,f11f
google-alt,f120
google-code,f121
google-developers,f122
grails1,f125
grails-alt,f139
hadoop,f13a
heroku1,f13b
html,f123
iphone,f124
java-bold,f126
java-duke,f127
javascript,f128
javascript-alt,f129
jetty,f12a
kde,f12b
laravel2,f12c
line-graph,f12d
linux-mint,f12e
looking,f12f
mariadb,f130
microscope,f131
mobile-device,f132
mobilephone-alt,f133
mobilephone-broadcast,f134
mongodb1,f135
msqlserver,f136
mysql1,f137
mysql-alt,f138
netbsd,f13c
nginx2,f13d
nginx-alt1,f13e
nginx-alt2,f13f
nodejs1,f140
objc,f141
oracle,f142
oracle-alt,f143
osx,f144
perl1,f145
phone-alt,f146
phonegap,f148
phone-retro,f149
php2,f14a
php-alt,f14e
playframework,f152
playframework-alt,f155
postgresql1,f163
python,f14c
raspberrypi,f14d
redis1,f14f
ruby,f150
rails2,f151
satellite,f153
scala,f154
script,f156
script-alt,f157
shell,f158
solaris,f159
splatter,f15a
suse,f15c
svg,f15d
symfony1,f15e
tomcat,f15f
ubuntu1,f160
wireless,f161
WordPress,f162
x11,f16e
android,e60e
angular,e653
appcelerator,e6ab
appstore,e613
aptana,e699
asterisk,e6ac
atlassian,e65b
atom,e664
aws,e6ad
backbone,e652
bing,e602
bintray1,e694
bitbucket,e603
blackberry,e623
bootstrap,e647
bower,e64d
brackets,e69d
bugsense,e68d
celluloid,e66b
chrome,e643
cisco,e665
clojure,e66a
clojure-alt,e668
cloud9,e69f
coda,e693
code-badge,e6a3
code,e696
codeigniter,e680
codepen,e616
codrops,e62f
coffeescript,e651
compass,e661
composer1,e684
creativecommons,e689
creativecommons-badge,e68a
csstricks,e604
css3-full,e64a
css3,e649
cssdeck,e62a
dart,e698
database,e606
debian,e67d
digital-ocean,e6ae
django,e61d
dlang,e6af
docker,e6b0
doctrine,e674
dojo,e61c
dotnet,e67f
dreamweaver,e69c
dropbox,e607
drupal,e642
eclipse,e69e
ember1,e61e
envato,e65d
erlang,e6b1
extjs,e68e
firebase1,e687
firefox,e645
fsharp,e6a7
ghost-small,e614
ghost,e61f
git-branch,e625
git-commit,e629
git-compare,e628
git-merge,e627
git-pullrequest,e626
git,e605
github-alt,e608
github-badge,e609
github-full,e617
github,e60a
google-analytics,e660
google-drive,e631
google-cloudplatform,e6b2
grails,e6b3
groovy1,e675
grunt1,e64c
gulp,e663
hackernews,e61a
haskell,e677
heroku,e67b
html5-3deffects,e635
html5-connectivity,e634
html5-deviceaccess,e633
html5-multimedia,e632
html5,e636
ie,e644
illustrator,e6b5
intellij,e6b6
ionic,e6a9
js,e64e
js-shield,e64f
jekyll,e60d
jira,e65c
joomla,e641
jquery,e650
jquery-ui,e654
jenkins1,e669
komodo,e692
krakenjs-badge,e685
krakenjs,e686
laravel1,e640
less,e658
linux,e612
magento,e646
mailchimp,e69a
markdown,e63e
materialize,e6b7
meteor1,e6a6
meteor-full,e6a8
mit,e68b
modernizr,e620
mongodb,e6a4
mootools,e690
mootools-badge,e68f
mozilla,e688
msql-server,e67c
mysql,e60b
nancy,e666
netbeans,e69b
net-magazine,e62e
nginx1,e676
nodejs,e619
nodejs-small,e618
npm1,e621
onedrive,e662
openshift,e6b9
opensource,e671
opera,e648
perl,e66c
photoshop,e6ba
php1,e63d
postgresql,e66e
redis,e66d
rackspace,e6bb
prolog,e6a1
raphael,e65f
rasberry-pi,e622
react,e6bc
redhat,e6be
requirejs,e670
responsive,e697
ruby-on-rails,e63b
ruby-rough,e691
rust,e6aa
safari,e64b
sass,e655
scriptcs,e6bf
scrum,e6a0
senchatouch,e68c
sizzlejs,e695
smashing-magazine,e62d
snapsvg,e65e
stackoverflow,e610
spark,e6bd
windows,e615
sublime1,e6c0
sqllite,e6c4
streamline,e60c
stylus1,e659
swift,e656
symfony-badge,e657
symfony,e65a
techcrunch,e62c
terminal-badge,e6a2
travis,e67e
trello,e66f
typo3,e672
ubuntu,e63a
uikit,e673
unity,e62b
vim,e6c5
w3c1,e678
visualstudio,e630
webplatform,e67a
wordpress,e637
yahoo-small,e638
yahoo,e639
yeoman,e681
yii,e682
zend,e6c1
casc,ebb6
cnab,ebb5
vite,2607
fiddle,24bb
commitizen,ebb3
laravel,e63f
omnigraffle,ebaf
restql,ebb0
sandbox,ebb1
ngrx,ebb2
grapher,1f4c9
automator,ebb4
houdini,1f300
wolfram,1f43a
winui,ebb7
metapost,1d5ac
graphql-codegen,ebae
buildkite,ebad
hie,ebab
bors,1f441
w3c,ebac
warcraft3,2162
ogone,ebaa
fauna,13168
kibo,eba9
awk,1f427
numpy,eba8
rescript,eba7
spacengine,29cf
blitzbasic,eba5
readthedocs,2398
gitpod,1d5a6
pytest,eba6
rubygems,1f48e
bloc,eba3
nokogiri,92f8
binder,eba4
dub,eba2
snowpack,1f3d4
nwscript,23ff
lark,1316b
calva,eba1
modernweb,eb9f
stitches,eba0
yamllint,eb9d
wine,1f377
vray,24cb
rsync,eb9e
openzfs,1d419
openexr,1f127
ftr,2933
apollo,1f110
hygen,1f4c3
nx,eb9c
kusto,eb9a
kusto-alt,eb9b
apiextractor,eb99
testcafe,2714
latino,1f426
rmarkdown,211b
dvc,eb98
lighthouse,26ef
fthtml,eb97
bosque,eb96
jscpd,eb95
drawio,eb93
xmake,eb94
linqpad,1d6cc
cubit,eb92
qsharp,eb91
lgtm,1f435
fabric,1f4dc
commitlint,1f191
goreleaser,eb90
codemeta,eb8f
hugo,24bd
kaitai,30ab
cpcdosc,eb8d
neon,eb8e
dafny,eb8c
macaulay2,2644
homebrew,1f37a
tilt,eb8a
mermaid,eb84
devcontainer,eb83
nickle,a2
nimble,eb85
pnpm,eb86
sails,eb87
shadowcljs,eb88
crafttweaker,eb89
fork,2442
lefthook-alt,eb8b
qiskit,eb81
source,eb82
vala,1d4b1
mono,1f5ff
eclipse-lang,eb80
gauss,eb7e
freemat,eb7f
analytica,eb7d
a-plus,eb79
pure,1f4a7
nemerle,1f985
hop,1f998
curl-lang,eb7a
c-sharp,eb7b
cpp,eb7c
sac,203c
futhark,eb77
curry,eb78
galaxy,eb74
knime,eb75
cuneiform,eb76
agda,1315a
sophia,eb72
aeternity,e6
bison,1f402
lex-alt,1316a
unicode,eb6e
ufo,1f144
lex,101ef
wenyan,8a00
expo,eb71
nessus,23e3
openstack,eb6f
stdlibjs,eb70
lefthook,1f44a
semanticrelease,1f7cd
_4d,eb73
nextjs,24c3
adobe-creativecloud,eb5e
adobe-acrobat,eb5f
adobe-audition,3373
adobe-bridge,eb61
adobe-characteranimator,eb62
adobe-dimension,eb63
adobe-dreamweaver,eb64
adobe-fuse,eb65
adobe-incopy,1f18b
adobe-lightroom,eb67
adobe-mediaencoder,eb68
adobe-prelude,eb69
adobe-premiererush,eb6a
adobe-xd,eb6b
adobe,1d235
asm-zilog,eb47
asm-vax,eb48
asm-sparc,eb4a
asm-riscv,eb4b
asm-ppc,eb4c
asm-motorola,eb4d
asm-intel,eb4e
asm-hitachi,eb60
asm-generic,eb4f
asm-avr,eb6c
asm-att,eb50
asm-arm,eb51
asm-amd,eb52
asm-agc,eb53
agc,eb54
att,eb55
zilog,eb56
sparc,eb57
powerpc,eb58
amd,eb59
intel,eb5a
hitachi,eb66
avr,eb6d
arm,eb5b
vax,eb5c
risc-v,eb5d
docbook,13167
lilypond,1f4ae
genstat,223f
motorola,24c2
yorick,1f480
rdata,eb49
adobe-animate,eb41
adobe-flash,eb43
modo,f01f
cheetah3d,1f406
finaldraft,1d4bb
reasonstudios-alt,eb44
reasonstudios,eb45
cdf,eb46
dhall,1f58b
terser,272c
patreon,eb42
wasi,eb40
oberon,eb3f
faust,22c0
dependabot,eb3e
stylishhaskell,eb3d
gnuplot,1f4c8
razzle,52
zeit,25b2
conda,eb3c
truffle,eb3b
hyper,eb37
v,76
odin,eb36
openpolicyagent,eb39
mirc,eb3a
totvs,eb34
webhint,eb35
sorbet,1f366
wget,eb38
vyper,eb31
amusewiki,eb32
noon,eb33
pinescript,eb30
nsri,eb2f
nsri-alt,eb2b
affectscript,eb2c
renovate,eb2d
riot,eb2e
janet,eb2a
pyup,eb26
biml,eb29
melpa,33ab
bnf,2a74
alacritty-alt,eb28
alacritty,eb27
webvtt,eb24
matroska,2668
acre,237a
picolisp,eb25
influxdata,eb1f
docz,eb21
vscode,eb22
macvim,eb23
scratch,a7
fexl,eb20
jsonnet,eb1e
remark,eb1d
robot,eb0d
zork,1b6
moleculer,eb0e
sentry,eb1c
svelte,33dc
n64,6e
test-go,eb0f
test-haskell,eb10
test-rust,eb11
config-go,eb12
config-rust,eb13
config-haskell,eb14
config-python,eb15
config-react,eb16
config-ruby,eb17
config-coffeescript,eb18
config-perl,eb19
config-js,eb1a
config-typescript,eb1b
openapi,eb0a
kubernetes,2388
azure-pipelines,1f680
dotjs,eb0b
greenkeeper,eb0c
snapcraft,eb09
nightwatch,eb08
magit,eb05
freedesktop,eb07
digdag,eb03
elementaryos,24d4
xubuntu,eb04
openindiana,1a3
manjaro,eb06
gravit-designer,eb02
zorinos,eb01
qt,eb00
modelica,eaff
meson,eafe
templeos,2696
dragonflybsd,eafd
openvpn,eaf3
keybase,eaf8
pkgsrc,eaf9
smartos-alt,eafb
smartos,eafc
amigaos,26bd
illumos,eaf4
opensolaris,eaf5
os2,eaf6
reactos,eaf7
openbsd-alt,1f420
openbsd,1f421
ms-dos,eafa
dosbox-alt,eaf0
dosbox,eaf2
freedos,eaf1
deno,eaef
chocolatey,1f36b
animestudio,eaed
moho,eaee
red,eaec
flutter,eaeb
microsoft-project,eae8
gatsby,24bc
tailwind,301c
imba-alt,eae9
imba,26ff
zig,7a
gridsome,eae7
yandex,42f
san,eae6
asymptote,eae3
asymptote-alt,eae5
caddy,1f512
falcon,eae4
scilla,eae2
fountain,1f135
wurst,1f32d
velocity,2b94
toml,1f143
tfs,eae1
storybook,eadf
stylable,eae0
solidarity,1d5e6
snort,1f43d
rubocop,eade
rstudio,24c7
qlikview,1f50d
progress,eadc
phraseapp,eadb
pcd,26c5
microsoft-publisher,eadd
microsoft-outlook,eada
microsoft-lync,ead9
lolcode,1f63a
kos,6b
galen,ead8
fusebox,ead7
docpad,21b9
cvs,1f41f
helix,2695
monotone,1f400
fossil,ead6
floobits,ead5
ensime,ead4
coveralls,272a
crowdin,ead3
bazel,ead2
conan,ead1
cloudfoundry,ead0
anyscript,eacf
ink,eace
bazaar,eacd
quasar,eacc
pyret,2620
nuxt,eaca
glide,eacb
nestjs,eac9
unibeautify,eac4
ballerina,eac8
precommit,eac1
vsts,eac0
ttcn3,2476
json5,2478
walt,eaba
wallaby,231f
netlify,eabf
istanbul,1f54c
husky,1f436
hjson,eac2
json-2,eabd
json-1,eabe
fossa,eac3
silicon-graphics,2318
prisma,eac5
openvms,eac6
asciidoctor,eac7
lektor,eab9
pico8,eabc
affinity-designer,eabb
modula-3,2778
serverless,eab8
dna,2624
mdx,eab7
styled-components,1f485
neo4j,eab3
wix,eab0
wdl,eab1
tla,eab2
pullapprove,293e
ndepend,eab4
dia,eab5
caffe2,eab6
hound-ci,eaaf
go,eaae
pros,eaad
v8-turbofan,eaac
font-outline,eaaa
font-bitmap,eaab
workbox,eaa8
tipe,eaa9
gltf,eaa7
spacemacs,eaa4
nextflow,eaa5
conll,eaa6
brotli,eaa2
avro,eaa3
robots,1f916
reek,eaa0
yara,ea9f
cwl,29d9
yaml-alt4,ea9c
yaml-alt3,ea9d
yaml-alt2,ea9e
yaml-alt1,59
yaml,79
prettier,eaa1
caffe,ea9a
imba-old,1f4a0
browsersync,62
icomoon,eaea
kx,ea9b
pypi,ea94
stencil,ea95
nomad,ea96
cocoapods,ea97
carthage,ea98
dataweave,ea99
coreldraw,ea90
coreldraw-alt,ea91
cairo,ea92
tortoisesvn,ea93
opencv,ea8d
ghostscript,ea8f
hewlettpackard,33cb
pipenv,1f381
codacy,ea8b
graphite,ea8a
inkscape,ea8e
gimp,ea88
firebase-bolt,26a1
flask,1f704
behat,ea89
atoum,2649
curl,2f
tmux,ea8c
cpan,ea87
pod,ea84
ring,1f48d
easybuild,ea85
solidity,ea86
closure-template,ea82
telegram,2708
precision,2295
junos,ea81
browserslist,ea80
dragula,1f44c
moment-tz,1f30d
moment,1f558
firebase,ea7f
vertex-shader,ea79
opengl,ea7a
webgl,ea7b
sketchup-layout,ea7c
sketchup-stylebuilder,ea7d
sketchup-make,ea7e
edge,ea78
xamarin,ea77
pegjs,ea74
jolie,ea75
nano,ea76
dom,ea71
nasm,ea72
yasm,ea73
nxc,ea6b
brotli-old,ea6c
bintray,ea6e
MJML,ea6f
wasm,ea70
test-dir,ea60
test-coffeescript,ea62
test-generic,ea63
test-js,ea64
test-perl,ea65
test-python,ea66
test-react,ea67
test-ruby,ea68
test-typescript,ea69
codeship,ea6a
markdownlint,f0c9
antwar,2591
proselint,ea6d
alex,29cb
pm2,2630
webpack,ea61
esdoc,ea5c
twine,ea5d
squarespace,ea5e
phoenix,ea5f
watchman,ea4f
p4,ea50
nanoc,ea51
miranda,ea52
minizinc,ea53
meson-old,ea54
jison,ea55
franca,ea56
devicetree,ea57
caddy-old,ea58
bem,ea59
bazel-old,ea5a
angelscript,ea5b
ejs,ea4b
polymer,ea2b
platformio,ea2c
virtualbox-alt,ea2e
virtualbox,ea3e
vmware,ea49
rhino,ea4a
hg,263f
kicad,ea4c
hoplon,ea4d
abif,ea4e
tt,54
swagger,ea29
bithound,ea2a
twig,2e19
shippable,ea2d
shipit,26f5
sequelize,ea2f
redux,ea30
rspec,ea31
phpunit,ea32
octave,ea33
nuclide,ea34
microsoft-infopath,ea35
lime,ea36
lerna,ea37
kitchenci,ea38
jest,ea39
jasmine,ea3a
haxedevelop,ea3b
gitlab,ea3c
drone,ea3d
donejs,1f3c1
doclets,ea3f
delphi,ea40
codekit,ea41
chef,ea42
cakephp,ea43
cobol,ea44
bundler,ea45
buck,ea46
brunch,ea47
aurelia,ea48
ansible-alt,61
ansible,24b6
1c-alt,ea28
nodemon,ea26
electron,ea27
arttext,24d0
rascal,ea24
shuriken,272b
gn,ea25
v8,ea1f
libuv,ea21
ffmpeg,ea22
icu,ea23
image,f012
dashboard,f07d
video,f057
terminal,f0c8
tag,f015
config,f07c
silverstripe,e800
rollup,ea20
codecov,2602
nsis,ea1e
reason,ea1d
glyphs,47
editorconfig,ea1b
yarn,ea1a
snyk,ea1c
wercker,ea19
mruby,ea18
svn,ea17
dylib,ea15
pb,ea14
regex,2a
rexx,ea16
1c,a5ea
pug,ea13
fontforge,fb00
circle-ci,ea12
tern,1f54a
eslint,ea0f
mocha,26fe
chai,63
ember,e61b
d3,ea10
cordova,ea11
yui,ea00
tinymce,ea01
spray,ea02
sinatra,ea03
normalize,ea04
neko,ea05
mathjax,ea06
leaflet,ea07
gdb,ea08
fuel-ux,ea09
eq,ea0a
chartjs,ea0b
ckeditor,ea0c
codemirror,ea0d
akka,ea0e
typedoc,e9fe
arch-linux,41
rollup-old,e9fd
knockout,4b
stylus,73
stylus-orb,53
alpine-linux,e9ff
fbx,e9fc
maya,e9f6
audacity,e9f9
blender,e9fa
lightwave,e9fb
nib,2712
stylus-full,e9f7
khronos,e9f8
zbrush,e9f2
ae,e9f3
id,e9f4
premiere,e9f5
csound,e9f0
dbase,e9f1
openoffice,e9e4
keynote,e9e5
obj,e9e8
finder,e9e9
access,e9ea
onenote,e9eb
powerpoint,e9ec
word,e9ed
excel,e9ee
visio,ea83
storyist,e9ef
rot,1f764
apl,234b
jsx2-alt,e9e6
tsx-alt,e9e7
typescript-alt,2a6
default,1f5cc
cucumber,f02b
strings,e9e0
nant,e9e1
cs-script,e9e2
cake,e9e3
protractor,e9de
typings,e9df
sqlite,e9dd
julia,26ec
minecraft,e9dc
sf,e9db
powershell,e9da
nuget,e9d9
thor,e9d8
vagrant,56
jenkins,e667
new-relic,e9d7
brakeman,e9d6
cc,e9d5
scrutinizer,e9d4
cakephp-old,e9d3
sbt,e9d2
karma,e9cd
hack,e9ce
shopify,e9cf
pug-alt,e9d0
mupad,e9ca
ec,e9c9
ooc,e9cb
zimpl,e9c8
pickle,e9c4
textmate,2122
xmos,58
xtend,e9c6
xpages,e9c5
x10,2169
rst,e9cc
urweb,e9ba
zephir,e9c7
vcl,e9b4
vhdl,e9aa
unreal,75
uno,e9b3
turing,e9b6
textile,74
txl,e9c1
sv,e9c3
sc,e9a2
stata,e9a3
stan,e9a4
sqf,e9a5
slash,e9a6
shen,e9a7
self,e9a8
scilab,e9a9
scheme,3bb
sage,e9ab
robot-old,e9ac
red-old,e9ad
rebol,e9ae
realbasic,e9af
rdoc,e9b0
racket,e9b1
purescript,e9b2
purebasic,1b5
puppet,f0c3
propeller,e9b5
povray,50
pony,e9b7
pogo,e9b8
pike,e9b9
pawn,265f
parrot,e9bb
papyrus,e9bc
pan,e9bd
oz,e9be
oxygene,e9bf
progress-old,e9c0
opa,2601
cabal,e9c2
ox,e9a1
processing,e9a0
opencl,e99f
objective-j,e99e
numpy-old,e99d
netlogo,e99c
amx,e99b
nix,e99a
nit,e999
nimrod,e998
nsis-old,e992
monkey,e997
modula-2,e996
mirah,e995
metal,4d
mercury,e994
max,e993
matlab,e991
mathematica,e990
mako,e98f
lookml,e98e
logtalk,e98d
lean,4c
lasso,e98c
lsl,e98b
labview,e98a
kotlin,e989
krl,e988
jupyter,e987
sublime,e986
inno,e985
inform7,e984
idris,e983
ioke,e982
io,e981
igorpro,e980
hy,e97f
hashicorp,e97e
graphviz,e97d
graphql,e97c
harbour,e97b
gosu,e97a
golo,e979
gf,e978
pointwise,e977
genshi,e976
yoyo,e975
godot,e974
gams,e973
common-lisp,e972
gap,e971
freemarker,e970
fantom,e96f
gentoo,e96d
frege,e96e
perl6,e96c
fancy,e96b
factor,e96a
flux,e969
emberscript,e968
eiffel,e967
ecere,e966
e,45
byond,e962
eagle,e965
cython,e963
darcs,e964
patch,e961
diff,e960
nvidia,e95d
creole,e95e
coq,e95f
click,e95c
clean,e95b
sas,e95a
jsonld,e958
sparql,e959
owl,e957
yin-yang,262f
tcl,e956
postscript,e955
mediawiki,e954
nunjucks,e953
clarion,e952
cirru,e951
chapel,e950
ceylon,e94f
ampl,e94e
lfe,e94c
fabfile,e94b
phalcon,e94a
verilog,e949
jake,e948
idl,e947
doge,e946
isabelle,e945
jinja,e944
chuck,e943
clips,e940
cmake,e93f
stylelint,e93d
bluespec,e93c
nmap,e94d
bro,e93b
cp,e942
ant,e93e
brain,e93a
boo,e939
gnu,e679
glade,e938
man-page,e936
alloy,e935
autoit,e933
auto-hotkey,e932
augeas,e931
arduino,e930
ats,e934
api-blueprint,e92d
actionscript,e92e
antlr,e92c
pascal,e92a
cold-fusion,e929
sketch,e927
ai,e6b4
ps,e6b8
emacs,e926
go-old,e624
cakefile,e924
apple,e925
appveyor,e923
broccoli,e922
flow,e921
webpack-old,e91e
babel,e91f
llvm,e91d
php,f147
lua,e91b
composer,e683
ocaml,e91a
asciidoc,e918
org,e917
saltstack,e915
terraform,e916
raml,e913
livescript,e914
postcss,e910
openscad,e911
typescript,e912
font,e90f
mapbox,e941
eslint-old,e90e
dockerfile,f106
jsx,f100
jsx-2,f101
tsx,e9d1
elm,f102
grunt,e611
build-boot,f103
cljs,f104
clj,f105
nginx,f146b
ionic-project,f14b
haml,f15b
moustache,e60f
npm-old,f17b
npm,e91c
maxscript,e900
jade,e90d
kivy,e901
crystal,e902
gradle,e903
groovy,e904
r,e905
vue,e906
haxe,e907
lisp,e908
apl-old,e909
dyalog,e90c
j,e937
fortran,e90a
ada,e90b
doxygen,e928
abap,e92b
arc,e92f
marko,e920
riot-old,e919
meteor,e6a5
bib,e601
tex,e600
